filename	event_labels
0o7mmdbK93A	chicken_rooster,singing,cheering,clapping,speech
0pvp3yzmE5s	chicken_rooster
0qKOtGR20SA	speech,dance
0qbVYrH95Ac	chicken_rooster
0rZT2FQzdDQ	chicken_rooster
0rZoAxmluX8	piano
0rcAa1-6z28	fixed-wing_aircraft
0ruHvSkfoB8	speech
0s0FLwW_Zsk	chainsaw
0s9xZLjN5X8	chicken_rooster,speech
0shveFo63vU	fixed-wing_aircraft
0srGeSQu9uQ	chicken_rooster
0swmgT8nGCA	speech,cheering
0tWqMSigpqw	fixed-wing_aircraft
0x3K2YSytTI	chicken_rooster,cheering,clapping,speech
0xiWpcy2dHI	cheering,clapping
0y4WJIJSOdQ	chicken_rooster
0y4mO86t4Z0	horse,speech
0y59NGzAoWs	cheering,clapping,alarm,speech
0yXnfquHjVI	speech,cheering,alarm,clapping
0yx2_smQlGo	cheering
0yyodmE6cGg	accordion
1-JvknKGp74	speech
1-nA5SgvFQM	chicken_rooster,speech
11p3k7duyKc	speech
12FhGkM-Fls	shofar,speech
12LHUqJxos4	speech,laughter
12pMdcWdNeQ	playing_basketball,clapping,cheering
13D1YY_BvWU	cello,helicopter,speech
13cWHYVRdsw	fixed-wing_aircraft
13k8j37ktV4	chicken_rooster
13xZgRl9XD4	rodents,speech
14-HuDAa7vM	singing,drum,speech
15CVltjZR-E	piano,shofar,speech
15pRTNSUjhE	chicken_rooster
15xPWO0KE6o	speech,fixed-wing_aircraft,car,singing
161c0bv1tkU	fixed-wing_aircraft
16bnaw5ZSNY	accordion,cheering,speech
16iyjFCwta4	chicken_rooster,speech
16k-hKzQqKc	alarm
18NpKwKl6Rk	chainsaw,speech
1ABfgNr8Pkw	speech
1AMwRRtp4Sg	chicken_rooster
1B-FIInh7_s	chicken_rooster,speech
1BctuVhLz1A	cry
1BgAcGWShOk	speech
1Bo0lRB2B3A	speech,drum,singing,laughter,dance
1BvF2ZI0S5g	singing,speech
1C3-1R8h3rM	chicken_rooster
1CQR2Nh6ZaU	chainsaw
1DGQ1wdEWM8	drum,guitar,piano
1DMv9mVtVyI	cheering,playing_ping-pong
1DOnv_cIh14	guitar,singing,clapping,cheering
1F21UFJiB0c	cheering,playing_ping-pong
1FF_PjIL4l4	chainsaw
1FfvnylPPcs	violin
1Fz1owHrSyE	cheering,clapping,speech
1GA-pRH3sBw	chicken_rooster
1GwJxtxosLc	cheering
1GwrogGAIS0	chicken_rooster,speech,singing,cheering
1HI5dkf7d8Q	banjo,guitar,cello,violin,clapping,cheering
1HNcTMygRqo	banjo,violin,guitar
1HhZ9VmTSu8	playing_tennis
1JWevjhd6Wk	chainsaw
1Jky7YVAPYY	dog,laughter,speech,singing
1K2p-dyx3SE	violin
1Kd1eUeaKdQ	fixed-wing_aircraft
1KyF6q2TTEA	chainsaw
1MZWCvHaYhQ	playing_soccer,speech,clapping,singing,cheering
1Mnhk2CNvZ8	speech,cheering
1MwkKdsSUns	speech,playing_ping-pong
1N2LyiEppk8	speech
1NkjIXbgEZc	fixed-wing_aircraft
1PN66hxf-9A	speech,cheering
1SPVxYpRzAs	speech,cheering
1SqYA6OW3ns	chainsaw,speech
1Tpe-iZhoIc	fixed-wing_aircraft
1TvNBm0DTJg	alarm,car_alarm
1UdK3jjy8g8	speech,clapping,cheering,singing
1UgnjHTmzKg	fixed-wing_aircraft,speech
1V2VImKmHP8	fixed-wing_aircraft,speech
1WdJGpNHVS4	rodents
1YOLvMd0_rg	clapping,cheering,speech
1Z4QoVbiFIU	cry,speech
1Zr-AjDdfrM	cheering
1ZtXKR3_X-Q	fixed-wing_aircraft
1_3UA1ZSKoI	fixed-wing_aircraft,clapping,speech
1b26S8mn9OM	drum,piano,singing
1c-DuB_nVQA	fixed-wing_aircraft,speech
1c76hIng4Ak	drum,singing,cheering,speech
1d7IBueQYZo	speech
1eY4SDnlWmo	speech
1eeg6ssaAP0	rodents,clapping,cheering,speech
1eikeF7Zitg	guitar
1en9fyEUfYU	fixed-wing_aircraft,speech
1euC3-drswQ	guitar,singing
1f-s2gYqyh8	speech
1fqNHLqPnAI	dog,speech,clapping
1gQkxY9-sL4	accordion,singing
1gxh6IA2aJ4	fixed-wing_aircraft
1habnDjBc0g	cheering,clapping
1i6hFSp4mWo	guitar,cheering,speech
1jyBARHxmlc	speech
1k5y3IqxPw0	playing_ping-pong
1lUK09Wwnvw	fixed-wing_aircraft,singing,clapping,speech
1m1C7vR60wY	fixed-wing_aircraft
1meowL4HPSU	fixed-wing_aircraft,singing,cheering,clapping,speech
1n0103Rotoc	cry,speech
1n5uFGk2pnc	playing_ping-pong,singing,cheering,speech
1nBDoDcPBj8	car_alarm,speech
1nYevjqjZmo	cry,dog
1pa1GIeQiuI	fixed-wing_aircraft
1t63KIS6F4I	cry,speech
1tOBtki9Xzk	cry,speech
1uMyymBV_eU	singing,cheering,speech
1veWbLpGa78	laughter
1vw4LB-D2zo	singing,clapping,speech
1xTMKVBMU0Y	fixed-wing_aircraft
1yvZV8piMYI	speech,laughter,clapping
2-UNNqpi0f0	alarm,cheering,speech
2-a-TlKRth8	speech,laughter
215NEmmpc60	playing_ping-pong
23rRgrnWQgU	guitar,banjo
24ywlO1l1mE	chainsaw
25_-Odrisz8	cheering,clapping,laughter,speech
28BSB_oyQOc	rodents
28QP3M-DUnk	laughter,speech
2A9cNdvHr3w	fixed-wing_aircraft
2CDIIOqK-sI	fixed-wing_aircraft,piano,guitar
2CUPWkVP-no	speech,clapping,cheering
2D1ODPlJlo8	cello
2E0cXm31egA	playing_ping-pong
2EueLQehhdo	piano,laughter,cheering,speech
2GfYNfKtpK0	chainsaw
2H46YMGYAD4	fixed-wing_aircraft
2HDe1UrYzZ8	guitar,singing
2HLpx5mqvW8	chainsaw
2HWeu6EwLYY	playing_ping-pong,speech,cheering
2HbuDx_BhW8	fixed-wing_aircraft
2I6pPRWKsCQ	guitar,drum,singing,piano
2Ih94oEBqPw	speech,laughter
2IiUuD0Jan4	fixed-wing_aircraft
2IyjdEYNwnY	chainsaw
2JwV3cAowD4	speech,guitar,drum
2LL9rfu1PRg	chainsaw
2NLrU9kLvo4	speech
2NznD9TBi5o	fixed-wing_aircraft
2OU8NF91fJg	fixed-wing_aircraft
2PFU_Ee0x14	playing_badminton,speech,laughter
2Peh_gdQCjg	speech
2PfBt_cK07o	shofar
2Pi35Np_Rh0	fixed-wing_aircraft
2Pzs6Yqn7O0	speech,cheering,drum,shofar
2Q-wXTSc91g	cry,speech
2Q8rXOXnhQU	fixed-wing_aircraft
2RMDPyh3G58	fixed-wing_aircraft
2RTltupmW0w	fixed-wing_aircraft
2SE8CryyF3U	guitar,singing
2SoL-pN-2qg	piano,singing,clapping
2TFZDZX1oXw	piano,singing,clapping,cheering
2U_BUV8PLtk	speech
2UuUxUmhugo	chainsaw,dance,violin
2VaveF8LNwY	cheering,clapping,alarm
2Wi7_uPVQn4	singing,clapping,cheering
2X3D54iHi3A	fixed-wing_aircraft
2XC0ckiiuq4	banjo,speech,singing
2XLmIci_Etg	speech
2XvHKOpDfek	clapping,cheering,guitar
2YPRT4UrBZM	rodents,speech
2YjE6XCkkSc	clapping,cheering,speech
2YrdbClQARE	cry,speech,laughter
2ZLieYZhqLk	fixed-wing_aircraft
2_5IdNJB3Kw	speech,playing_badminton,drum,clapping,cheering
2a0LX67iPlI	speech,laughter
2aJ3gtczGUo	fixed-wing_aircraft
2dB0iMy4KAI	cheering,laughter,alarm,speech
2dk9xHmkNpI	playing_ping-pong
2eNJyPLjnWM	playing_ping-pong
2f0JKXfTPrE	helicopter
2fHOFU-quvw	fixed-wing_aircraft
2gZWXqZK18E	cry,speech
2j_jq96u_yM	chainsaw
2kU0qemRB5A	playing_ping-pong,cheering,clapping
2kqRYTWKKIk	chainsaw
2ljnXaW13hI	speech,cheering,violin,drum
2logomXufTc	fixed-wing_aircraft,speech
2mmXoqiCOcM	cry,speech
2mnn3rimUDY	cry,speech
2mpz54nF3qI	banjo
2nF5FG9GK9k	cheering,speech
2nHE-EErdWs	speech
2o-Grc-LSUM	fixed-wing_aircraft
2ooAa7BTrVI	speech,clapping,cheering,banjo,singing,guitar
2pIlb2zHmyk	cheering,clapping,speech,alarm
2q6s2MmKZtM	drum,singing,cheering,speech
2qgOeAgtWi0	cry
2qra_7YjoYw	fixed-wing_aircraft
2sKmbnOi5S0	playing_ping-pong,cheering
2u9uWvVgULk	cry,speech
2u9yhtl01zA	speech,laughter,cheering,clapping
2uJQdg8k9sU	speech,cheering,violin
2vjgvW9rFLA	fixed-wing_aircraft
2w1NeptwLzU	playing_ping-pong
2w3FSD235TY	horse,speech
2wYIy9Osu-I	cry,speech
2waLaV2gwno	fixed-wing_aircraft
2x43exdQ5bo	cry,speech
2xvqbtV1vfQ	car_alarm
3-2CKVCL90g	playing_ping-pong,cheering
3-P1OtsVgfs	speech,laughter
3-ZlmJDnseE	fixed-wing_aircraft
30C3oqW_KCg	frisbee,dog,speech
33YLP_cv7UU	helicopter
34rBzTNyQ-M	speech,banjo,clapping,cello,cheering,violin
378f6c9zIRg	speech
37_fs34IRSs	fixed-wing_aircraft
37uHqbWccY0	violin,cheering,clapping,cello,piano
384nku0gUe4	chainsaw
385OLsVRaAU	alarm
38wGs4uBpow	guitar,singing
39_OmBO9jVg	piano,singing
3A0AlepZY7c	fixed-wing_aircraft
3A94mE0xjDk	cheering,clapping,playing_ping-pong
3AQFAFy1RCw	cry
3AjW9bdTid0	clapping,cheering,guitar
3BELEKmGJsA	speech
3Ba_WoSZXvw	guitar,singing,speech
3E8ZtgqbSaI	fixed-wing_aircraft
3EcCYA68m_w	fixed-wing_aircraft,speech
3FCryGOpKV8	guitar,violin
3FFBT_MBcdM	speech
3GaE_X5k3iE	clapping,cheering,guitar,singing,drum,speech
3H5HTraoIWc	alarm,cheering,speech
3HZW_jh_W1w	rodents
3HqCfD7IKaI	guitar,accordion
3HwotJxpFyE	cheering,clapping,speech,alarm
3I17FhCBuuw	playing_badminton,speech
3IMNb87Hkgs	playing_badminton,speech
3J3VBBijQMY	playing_basketball,speech,clapping
3JLjivK2fLg	cheering,clapping,playing_ping-pong
3Jlf2R6FBRA	helicopter
3KwulXmBX-8	alarm,speech,cry
3NIlQB0YxME	cheering,clapping,playing_ping-pong
3O92j7ue-hE	chainsaw
3OetDAwKSWg	speech,bicycle
3Okx0T5vpFc	fixed-wing_aircraft,speech
3PEDFWZzqLc	singing,cheering
3PoC1-xd4Yw	shofar,piano,clapping
3PsRqJrFiSM	fixed-wing_aircraft
3Q8iDCfPV2E	speech,laughter
3QKfLG7mauA	playing_basketball,speech,clapping
3QW_YW2kpb4	banjo,speech
3Ry9UWTzBcI	playing_badminton,speech,clapping
3SJAUgx6pOU	cheering,clapping,playing_ping-pong
3T-aColOLIQ	fixed-wing_aircraft
3Tjn1i1uSTw	playing_badminton,speech
3UavSfYk1c8	fixed-wing_aircraft
3VsznGtIdHY	speech
3W3bGkkFjnY	speech,cry,laughter
3WA7VMa94Lw	playing_badminton,speech,cheering
3WE9FsXp3kY	alarm,speech
3XAgndty3-0	speech,cheering,laughter
3XgWCWvEevc	rodents,speech
3YNvRrtULvs	guitar,singing
3YTJE7tD4g4	playing_ping-pong,speech
3ZEHgq1o8PI	helicopter,speech
3ZgLYAdGBck	fixed-wing_aircraft
3ZuDFLouf6A	fixed-wing_aircraft
3aOfoj137nE	car_alarm
3agBuZIBKHY	speech,cheering
3bYYlSPyPnU	shofar
3bzbbvo1PG8	fixed-wing_aircraft
3crvwgv12N8	fixed-wing_aircraft
3cugy18s-PI	alarm
3d4ps8jH5MU	fixed-wing_aircraft,speech,laughter
3dGlIZbJqWE	alarm,speech
3fhxjF8FU9E	speech
3gIWUjNtmHE	cry,speech
3gRSSZcCJ7I	frisbee,dog,speech
3gcPrF_qD_Y	cheering,clapping,speech
3h69_Tt_EYg	cheering,playing_ping-pong
3h_a9bQszfw	cello,violin,guitar
3hnHbVeSJNc	cry,speech
3hztvJYikQY	playing_badminton,speech
3jVKqIJOp30	cheering,clapping
3jWxZ00D_z0	helicopter,speech
3lLlEp9I-Is	fixed-wing_aircraft,speech
3mN9FWDq79U	fixed-wing_aircraft
3mU6FOhgY-0	singing,guitar,clapping,cheering
3oS1DK_35z4	cry,speech
3pG8P6m0E4I	cry
3qGSho5ADdw	drum,piano,singing,cheering,clapping,guitar
3qIRJLGGZy0	speech,car_alarm
3qKTCsBIAUo	playing_soccer,speech,cheering
3qUbjqwGIx8	cry,speech
3qgtQ0qyuts	playing_badminton,speech
3rL8EhnUTn8	fixed-wing_aircraft
3uDxHymUoIE	playing_basketball,speech,laughter
3uVdX0Yg2Mg	cry,speech
3ujCBi8VbLc	cry,speech
3v7q1xTR2LQ	cry
3vEsFxolnFs	banjo,speech
3vGR7CuMUF4	accordion,speech
3vGci6VW_So	fixed-wing_aircraft
3vYVB_bOazw	playing_badminton,speech
3wirS8eqVYI	speech
3xCzn3MV4V0	playing_basketball,speech,clapping
3xpH6BQyWwk	fixed-wing_aircraft
3yKkTACqkS0	playing_basketball,speech,clapping
3yiJDmk7M0A	clapping,cheering,speech
3yniGSwBSdU	fixed-wing_aircraft
3yxCG4mxDkQ	playing_badminton,speech
3zM_vofZb8g	cry,speech
4-nUyWv5xEU	cry
408uaxjumNY	playing_basketball,speech,cheering
40XB6AsLtuI	speech,cheering,clapping
40Y08_q9WcU	cry,speech
40fY2IC-RLU	fixed-wing_aircraft
41NfQlOzbvg	speech
41TF4teDvDs	playing_badminton,speech
425tdcfbJJw	speech,cheering
42XZezNM0QM	playing_soccer,speech,clapping
45Joz4cqbc8	helicopter,speech,singing
45RMvyE1upE	playing_badminton,speech
45bqKuaNjCQ	guitar,singing
46G7GrIYptE	singing
46k3frF1V90	speech
47HXd00DuR0	banjo
487rmk_MU0g	cheering,singing,guitar,drum
48S_lD1bkMI	speech,cheering
48XrJGJ085M	playing_basketball,speech,cheering
48aAm29slXA	speech,cheering,violin,drum
48dEzZkLg38	playing_ping-pong,speech
48h1ibWL_8c	chainsaw
49GKKQCb6gM	fixed-wing_aircraft
49SBSn_Vbn8	cry,speech
49wP_Zmqkyc	chainsaw
4CcGATxKEXw	fixed-wing_aircraft
4DMrjshc810	playing_basketball,speech,cheering
4EVapt6AdgE	fixed-wing_aircraft
4EzZ871FBNg	fixed-wing_aircraft
4Fa2-efIUrU	speech,laughter
4H0mUoLe0jc	laughter,clapping,speech
4HrqMV2kEvA	cry,speech
4IsppmrZ5o0	fixed-wing_aircraft
4JHrz-LaBF0	cheering,clapping
4JWkfGvJDuE	dance,playing_baseball,speech
4K345_DRFRk	speech,cheering,clapping
4KE6dUAGZ94	horse,speech,cheering
4KXAnuxoLYA	fixed-wing_aircraft
4Lk4QkK1bGI	playing_badminton,speech
4MpQ7_Xnc-0	fixed-wing_aircraft
4MxvhT26yQI	playing_basketball,speech,cheering
4NKZsIkz7Nc	playing_ping-pong
4NVhqWJNWLo	guitar,singing
4Nl7TatAIVU	playing_badminton,speech
4OOUuDaDV5o	violin,piano,clapping,cheering
4OUwnmIHXIw	rodents,speech
4OYKsYJY3cw	speech,clapping
4OeiSVS33Ng	chainsaw,speech
4Ol9khacMhU	speech
4OpT5b2u6Rc	laughter
4Ox_ses-iK4	playing_ping-pong
4Oxt706phPE	rodents
4P5Z2aU9SQw	playing_ping-pong,cheering,clapping
4Q4Q9byUQJM	fixed-wing_aircraft,speech
4QSK9t6OrgU	speech,clapping,cheering,laughter
4R4QClrYLW4	banjo,speech,cheering
4RhYqmuq-k0	playing_basketball,speech,cheering
4RzAe3fyiY4	playing_badminton,speech
4SZ79UfAs24	playing_basketball,speech,laughter
4UawwYGCHws	fixed-wing_aircraft
4UhA5bYEEcw	frisbee,dog,guitar
4UymqYdJ3nI	playing_badminton,speech
4V3TFiHFqDc	cry,speech
4VmbNH6NJ1k	playing_badminton,speech,cheering
4XcI1RCXXJU	fixed-wing_aircraft
4YPYs-bHaR4	chainsaw
4ZGOmbxPZ1s	speech,cheering
4ZWsFPiS014	fixed-wing_aircraft,speech
4ZyPBOe4P0U	playing_badminton,speech
4_4-idMiGpU	playing_badminton,speech
4_C2ToNVSf8	fixed-wing_aircraft
4_W_sRF-beM	piano,cheering,clapping
4_XvKcLxj6I	banjo,drum,singing,clapping,cheering
4_vj9VfCAdk	piano,singing,laughter
4a1Lmhlmovc	singing,laughter
4a2cXp1KbnE	fixed-wing_aircraft
4bZQ_StvB6k	drum,cheering,speech
4beQJ1VhKk0	guitar,clapping,laughter
4ck1xVyFc3A	frisbee,dog,speech
4cuwf0Sq7lE	fixed-wing_aircraft,speech
4dSql5v0xW8	speech,cheering,clapping
4dry2i882Tk	frisbee,speech
4fSIAMxZHZ4	rodents,speech
4h4KxP5_t6k	alarm
4hijHihnKzY	speech
4i79R2ml0f0	cry,speech
4jkI8aYA7SI	speech
4l7pVvVK9nI	speech,playing_ping-pong
4lLkPHKE_Gg	laughter
4lytS3VyzTI	chainsaw
4m-kVx4K8cg	playing_badminton,speech
4m0PwPU8NBw	cry,speech
4mC6K77Y_Ho	shofar,singing
4mRdgV8t4KY	horse,speech
4nFtdiPKmZ0	fixed-wing_aircraft,speech
4nvAbP6wXDA	rodents
4oEjg-ZPXBc	playing_badminton,speech
4oqqXQcDg3w	alarm
4p59BuaT5eE	playing_ping-pong
4rfg_8SXrq8	speech
4sUcWgk0kc0	guitar,drum,singing,speech
4vvcVmWn0Vo	fixed-wing_aircraft,speech
4y8RVnUHc_c	speech
4z4kNGDTfu0	guitar
50FwRFhBlCY	rodents
50N1cwjEfs4	clapping,cheering,singing
518jryaw-vk	speech,cheering
51bELr8gTAs	playing_badminton,speech
52qHPcqkv6U	fixed-wing_aircraft,speech
53Z090WUYpo	cry,speech,laughter
53ohFLBl0iE	alarm,speech
54TUIAhPjM0	cry,speech
56PQ9sjtlOU	playing_basketball,speech
5793zhrytks	cheering,clapping,speech
59Xef4GPClc	playing_ping-pong,cheering
59svx6RTX6E	chainsaw
59xcK5ajZI0	speech
5AP4M7PJGx0	speech,laughter
5C89eGAf9eE	playing_badminton,speech
5DpnGFxWZyo	cheering,clapping
5E90ZAyYmDU	speech,laughter,cheering
5EuBcQr-alc	speech,cheering
5Fppoe0xrCc	playing_badminton,speech,clapping
5GNUTfCRLII	frisbee,speech
5Hi6MMql06Q	cheering,speech,clapping
5HkTArPiX8E	chainsaw
5InInoTzcMQ	drum,cheering,singing,speech
5Iu-ahHr048	playing_badminton,speech
5K2bUarxMSo	chainsaw
5KNnaz7yGGk	playing_ping-pong,cheering,clapping
5KPs8zKLKtA	speech,playing_baseball,laughter,cheering
5K_c4LG7CEE	cry
5LjQauipkt8	cheering,dance,singing
5Lmjq9Drcok	cheering,alarm
5Mp6W7cYzRY	playing_badminton,clapping,cheering
5NmIav-DttI	speech,cheering,laughter
5OGUvwQxWtw	helicopter,speech
5OWCQl64pXc	chainsaw
5PTIdvTDCgY	speech,playing_ping-pong,cheering
5PWd8RM5fds	playing_basketball,speech,clapping
5Qu9H0jTw_8	piano,singing
5RGmxhkjnqI	alarm,cheering
5TFRPUlOnVE	clapping,playing_ping-pong,cheering
5Tjiz0rkQz0	playing_ping-pong,speech
5URi2MBQ6WE	alarm,singing,speech
5USHgdkRwkA	fixed-wing_aircraft
5UplwxjzZkA	fixed-wing_aircraft,speech
5UwANpsCl0I	playing_ping-pong
5VKB2lB2BE4	laughter,guitar,singing,banjo
5WRJXjKO8Ls	helicopter,car_alarm,laughter,speech
5XUvXpg8yOE	speech,cheering
5YnChJFwYRQ	speech,cheering,clapping
5YsdlM3Stjo	horse,speech
5ZiCd0TEIN8	shofar
5_PXO4OQRGw	dog,drum,piano
5_Sf_gEfTcc	fixed-wing_aircraft,speech
5a_LPLNtBQs	chainsaw
5avkkKA7lt4	playing_ping-pong,clapping,cheering
5bM3Syf1KN0	chainsaw
5d0TnzxTgKM	chainsaw
5dDjJLdQ6Jo	dog,speech
5dQEPN2HJlQ	singing,clapping,cheering
5dmQwHn3xFU	frisbee,cheering,clapping
5eeeaEObtCA	playing_ping-pong,laughter,speech
5fJoZQ0_MUw	singing,guitar,dance,drum
5fKWiCTFZgk	cry,speech
5hL1uGb4sas	car_alarm,speech
5iL201ao6fI	playing_ping-pong,speech
5j6j4NJkUXA	horse
5jALTAeHLbQ	fixed-wing_aircraft,speech
5jlV3DkSZoQ	fixed-wing_aircraft
5mhO6v3lV8U	speech,chainsaw
